M_number,name,ra,dec,type,distance_ly,apparent_magnitude,x,y,z,display_name,description
M 96,M  96,161.6906,11.819938888888888,GiP,33.9854552,9.25,-31.580766138526666,10.45008798996495,6.9614679670946185,M  96,Deep sky object
M105,M 105,161.95666666666665,12.581630555555554,LIN,26.418636,9.760000228881836,-24.51623260318714,7.986311264421333,5.754780572245721,M 105,Deep sky object
M105,M 105,161.95666666666665,12.581630555555554,LIN,33.9528396,9.760000228881836,-31.50789893817014,10.26388892131186,7.395958735441722,M 105,Deep sky object
M105,M 105,161.95666666666665,12.581630555555554,LIN,35.9423912,9.760000228881836,-33.35418312186695,10.865327177027543,7.829343445203438,M 105,Deep sky object
M105,M 105,161.95666666666665,12.581630555555554,LIN,33.594068,9.760000228881836,-31.174962446028093,10.155432842412312,7.3178073943371515,M 105,Deep sky object
M105,M 105,161.95666666666665,12.581630555555554,LIN,36.5620876,9.760000228881836,-33.92925524465776,11.052660404217672,7.964332125293152,M 105,Deep sky object
M105,M 105,161.95666666666665,12.581630555555554,LIN,56.098832,9.760000228881836,-52.05916058948381,16.95858688247493,12.220027881805729,M 105,Deep sky object
M105,M 105,161.95666666666665,12.581630555555554,LIN,36.5947032,9.760000228881836,-33.959522198488855,11.062520047753996,7.971436792666294,M 105,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,30.332508,9.729999542236328,-28.082090160185686,9.674621683200947,6.1529626272393525,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,32.6156,9.729999542236328,-30.19579587116741,10.402819014194568,6.616088846493928,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,31.147898,9.729999542236328,-28.836985056964874,9.934692158555812,6.318364848401702,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,31.8654412,9.729999542236328,-29.501292566130555,10.163554176868091,6.463918803024567,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,30.4303548,9.729999542236328,-28.17267754779919,9.705830140243531,6.172810893778834,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,32.452521999999995,9.729999542236328,-30.04481689181156,10.350804919123592,6.583008402261457,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,32.316514948,9.729999542236328,-29.9189004230288,10.307425163834402,6.555419311771578,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,32.452521999999995,9.729999542236328,-30.04481689181156,10.350804919123592,6.583008402261457,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,34.4746892,9.729999542236328,-31.91695623582395,10.995779698003657,6.993205910744082,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,1010.431288,9.729999542236328,-935.4657560887663,322.27933305974767,204.96643246438188,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,34.1485332,9.729999542236328,-31.614998277112278,10.891751507861713,6.927045022279143,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,31.963288,9.729999542236328,-29.59187995374406,10.194762633910676,6.483767069564049,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,32.6156,9.729999542236328,-30.19579587116741,10.402819014194568,6.616088846493928,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,32.6156,9.729999542236328,-30.19579587116741,10.402819014194568,6.616088846493928,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,39.13872,9.729999542236328,-36.23495504540089,12.48338281703348,7.939306615792713,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,28.4081876,9.729999542236328,-26.30053820378681,9.060855361363469,5.762613385296211,M  95,Deep sky object
M 95,M  95,160.99054728575,11.703694775369998,GiP,32.6156,9.729999542236328,-30.19579587116741,10.402819014194568,6.616088846493928,M  95,Deep sky object
M 65,M  65,169.73295193949,13.092305751019998,GiP,47.944932,,-45.95091764908864,8.323399804070554,10.860510457289587,M  65,Deep sky object
M 65,M  65,169.73295193949,13.092305751019998,GiP,39.791032,,-38.13613573597833,6.907855619704814,9.013484869315167,M  65,Deep sky object
M 65,M  65,169.73295193949,13.092305751019998,GiP,36.9208592,,-35.3853325025635,6.4095840668080735,8.363331862348172,M  65,Deep sky object
M 65,M  65,169.73295193949,13.092305751019998,GiP,29.027884,,-27.820623610672712,5.039337296342036,6.575411093188934,M  65,Deep sky object
M 65,M  65,169.73295193949,13.092305751019998,GiP,41.258734,,-39.542796480338176,7.162653572890647,9.345949475150562,M  65,Deep sky object
M 65,M  65,169.73295193949,13.092305751019998,GiP,47.618776,,-45.63832637256422,8.266778036695923,10.78662943377061,M  65,Deep sky object
M 65,M  65,169.73295193949,13.092305751019998,GiP,39.7584164,,-38.10487660832588,6.90219344296735,9.006096766963271,M  65,Deep sky object
M 65,M  65,169.73295193949,13.092305751019998,GiP,24.135544,,-23.131754462806523,4.190010785722592,5.467195740404282,M  65,Deep sky object
M 65,M  65,169.73295193949,13.092305751019998,GiP,35.87716,,-34.38504041768538,6.228394411209258,8.126912587087446,M  65,Deep sky object
M 65,M  65,169.73295193949,13.092305751019998,GiP,27.005716799999995,,-25.88255769622135,4.688282338619332,6.117348747371277,M  65,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,30.006352,8.920000076293945,-28.799626854910073,5.045713391671129,6.74562300569467,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,36.26854719999999,8.920000076293945,-34.80998376376086,6.098731838628581,8.15340519818747,M  66,Deep sky object
M 66,M  66,170.0626,12.9915,GiP,30.658664,8.920000076293945,-29.42570569958203,5.155402813229197,6.8922669840793365,M  66,Deep sky object
