gaia_id,ra,dec,main_id,simbad_names,star_names,common_name,has_common_name,object_type
2052941389074846336,291.09722646199447,38.87560519325215,Kepler-157c,Kepler-157c|KOI-442.01|KOI-1737.01,Kepler-157c,Kepler-157c,True,Pl
2052968773786517760,291.0201517781811,39.22060800311048,Kepler-820,AP J19240483+3913144|Gaia DR3 2052968773786517760|TIC 122685803|SPOCS 3374|Gaia DR2 2052968773786517760|KOI-1335|2MASS J19240483+3913144|Kepler-820|KIC 4155328,AP J19240483+3913144,AP J19240483+3913144,True,Ro*
2052973309272223232,291.41863476795794,39.127365413272,Kepler-1053b,KOI-2013.01|Kepler-1053b,KOI-2013.01,KOI-2013.01,True,Pl
2052984785425250176,291.7484318971627,39.44677883277031,Kepler-1671b,Kepler-1671b|KOI-1738.01,Kepler-1671b,Kepler-1671b,True,Pl
2053067935992494848,290.927243693886,39.91411542735761,Kepler-621b,KOI-605.01|Kepler-621b,KOI-605.01,KOI-605.01,True,Pl
2053093637076689664,292.57707404869564,39.120940377180524,Kepler-1741b,Kepler-1741b|KOI-1201.01,Kepler-1741b,Kepler-1741b,True,Pl
2053183453434348672,292.1042183655066,39.767857458472164,Kepler-627b,KOI-629.01|Kepler-627b,KOI-629.01,KOI-629.01,True,Pl
2053438127812903296,291.4055606707048,40.1254230789384,Kepler-906b,KOI-1609.01|Kepler-906b,KOI-1609.01,KOI-1609.01,True,Pl
2053454478745972480,291.1849500293568,40.31120220506637,Kepler-1324b,KOI-2719.01|Kepler-1324b,KOI-2719.01,KOI-2719.01,True,Pl
2053523271244105216,292.29451944533577,40.591812832108126,Kepler-49c,Kepler-49c|KOI-248.02,Kepler-49c,Kepler-49c,True,Pl
2053569485093626752,292.8852275849151,41.27916671264708,Kepler-1843b,Kepler-1843b|KOI-2479.01,Kepler-1843b,Kepler-1843b,True,Pl
2054523105274216704,304.800032543719,32.58104453964715,HD 332124b,TOI-1198.01|TOI-1198b|HD 332124b|KELT-21b,TOI-1198.01,TOI-1198.01,True,Pl
2073274618947678464,296.3586243829047,39.11520331189679,Kepler-58,Gaia DR3 2073274618947678464|TIC 184471242|SPOCS 3370|Gaia DR2 2073274618947678464|KOI-1336|2MASS J19452607+3906546|Kepler-58|KIC 4077526,TIC 184471242,TIC 184471242,True,Ro*
2073294414466892288,296.2645108071221,39.40597503961857,Kepler-1886,Kepler-1886|Gaia DR3 2073294414466892288|TIC 184417747|Gaia DR2 2073294414466892288|KOI-2942|2MASS J19450349+3924214|KIC 4385148,Kepler-1886,Kepler-1886,True,Ro*
2073307917844452480,296.40377864295317,39.722705066538325,Kepler-1935,Kepler-1935|Gaia DR3 2073307917844452480|TIC 184469205|Gaia DR2 2073307917844452480|KOI-4056|2MASS J19453689+3943215|KIC 4673628,Kepler-1935,Kepler-1935,True,Ro*
2073547954981763328,299.22425369531294,40.34316664535255,Kepler-305b,Kepler-305b|KOI-1563.01,Kepler-305b,Kepler-305b,True,Pl
2073591420052466048,298.8358260678489,40.29306930341682,Kepler-1316b,KOI-2698.01|Kepler-1316b,KOI-2698.01,KOI-2698.01,True,Pl
2073662166743600896,297.7968172073972,39.92133666092866,Kepler-1758b,Kepler-1758b|KOI-1602.01,Kepler-1758b,Kepler-1758b,True,Pl
2073677040206349696,297.9400949816132,40.2785542077355,Kepler-1672b,Kepler-1672b|KOI-1822.01,Kepler-1672b,Kepler-1672b,True,Pl
2073697660354300544,297.0420136439736,39.912185552845486,Kepler-1983b,Kepler-1983b|KOI-3061.01,Kepler-1983b,Kepler-1983b,True,Pl
2073715630497465856,296.8460894963611,40.13857565298829,Kepler-1755b,Kepler-1755b|KOI-1573.01,Kepler-1755b,Kepler-1755b,True,Pl
2073733325763480320,297.3734050583557,40.366399111932054,Kepler-1378b,KOI-2883.01|Kepler-1378b,KOI-2883.01,KOI-2883.01,True,Pl
2073750986669231232,297.2550828742074,40.54838923798456,Kepler-348b,Kepler-348b|KOI-2011.01,Kepler-348b,Kepler-348b,True,Pl
2073768853731839104,298.11888073364815,40.375030986066214,Kepler-1508b,KOI-3468.01|Kepler-1508b,KOI-3468.01,KOI-3468.01,True,Pl
2073856917743350784,297.5936228367731,40.9772542248217,KOI-206b,KOI-206b,KOI-206b,KOI-206b,True,Pl?
2073861006552197120,297.5037187700214,41.057033532310385,Kepler-582b,KOI-507.01|Kepler-582b,KOI-507.01,KOI-507.01,True,Pl
2075040537699996288,299.5347591711083,40.47775199686084,Kepler-1955b,Kepler-1955b|KOI-4409.01,Kepler-1955b,Kepler-1955b,True,Pl
2075112109039378688,299.13931178730104,40.94893620015961,Kepler-48c,Kepler-48c|KOI-148.02,Kepler-48c,Kepler-48c,True,Pl
2075377679763353984,299.12246449158664,41.86679649164337,Kepler-539c,Kepler-539c|KOI-372.02,Kepler-539c,Kepler-539c,True,Pl
2075973718142345472,299.1376225454089,43.49846678015436,Kepler-1967b,Kepler-1967b|KOI-4725.01,Kepler-1967b,Kepler-1967b,True,Pl
2075993990389052160,299.85177631468844,43.73205704432636,Kepler-1832b,Kepler-1832b|KOI-2363.01,Kepler-1832b,Kepler-1832b,True,Pl
2076053604520641024,300.24208666020166,44.14128423755696,** KOI 2174B,Gaia DR3 2076053604520641024|Gaia DR2 2076053604520641024|** KOI 2174B|WDS J20010+4408B,** KOI 2174B,** KOI 2174B,True,*
2076087964270165632,300.4882021306887,44.46067013366803,Kepler-1593b,KOI-4356.01|Kepler-1593b,KOI-4356.01,KOI-4356.01,True,Pl
2076249351963553152,294.7698228421798,39.39840510951618,Kepler-825b,KOI-1342.01|Kepler-825b,KOI-1342.01,KOI-1342.01,True,err
2076373321899335808,295.80927506392595,40.008485826840214,Kepler-328b,Kepler-328b|KOI-1873.02,Kepler-328b,Kepler-328b,True,Pl
2076383625510685824,295.93347103575815,40.3005512509776,Kepler-340b,Kepler-340b|KOI-1932.02,Kepler-340b,Kepler-340b,True,Pl
2076454445237794432,294.6646779237496,39.7838467958977,Kepler-1834b,Kepler-1834b|KOI-2393.01,Kepler-1834b,Kepler-1834b,True,Pl
2076454926274192128,294.71018255437156,39.82504230039703,Kepler-168b,Kepler-168b|KOI-497.02,Kepler-168b,Kepler-168b,True,Pl
2076572092984362880,294.36490471722186,40.720890326330704,Kepler-1756b,Kepler-1756b|KOI-1590.02,Kepler-1756b,Kepler-1756b,True,Pl
2076578312097047168,294.55778566657443,40.85049513154038,KOI-6132.01,KOI-6132.01,KOI-6132.01,KOI-6132.01,True,Pl?
2076787116226614272,297.1992573520718,41.22644032076362,Kepler-1889b,Kepler-1889b|KOI-2967.01,Kepler-1889b,Kepler-1889b,True,Pl
2076790552200353536,297.07379359043495,41.224460908453146,Kepler-1331b,KOI-2742.01|Kepler-1331b,KOI-2742.01,KOI-2742.01,True,Pl
